username,num_nominations,url
fiona_creates,1,https://twitter.com/fiona_creates
AndriiGrey,1,https://twitter.com/AndriiGrey
myung_cathy,1,https://twitter.com/myung_cathy
bunessaland,1,https://twitter.com/bunessaland
alliharvard,1,https://twitter.com/alliharvard
artbyotto,1,https://twitter.com/artbyotto
saratrejo05,1,https://twitter.com/saratrejo05
jacksheartt,1,https://twitter.com/jacksheartt
mbsjq,1,https://twitter.com/mbsjq
giselleangeles6,1,https://twitter.com/giselleangeles6
Arinabbart,1,https://twitter.com/Arinabbart
allygrounds,1,https://twitter.com/allygrounds
Misshattan,1,https://twitter.com/Misshattan
rarepizzas,1,https://twitter.com/rarepizzas
hicetnunc2000,1,https://twitter.com/hicetnunc2000
Kaodraws,1,https://twitter.com/Kaodraws
CortexJess,1,https://twitter.com/CortexJess
JulieDrehoff,1,https://twitter.com/JulieDrehoff
fid_jey,1,https://twitter.com/fid_jey
femalegazin,1,https://twitter.com/femalegazin
MorrowCollect,1,https://twitter.com/MorrowCollect
missalsimpson,1,https://twitter.com/missalsimpson
anaoanna,1,https://twitter.com/anaoanna
Selene_visuals,1,https://twitter.com/Selene_visuals
alicefox,1,https://twitter.com/alicefox
OlaPixel,1,https://twitter.com/OlaPixel
Sandy12253,1,https://twitter.com/Sandy12253
glyphassembler,1,https://twitter.com/glyphassembler
yolandadobrasil,1,https://twitter.com/yolandadobrasil
amanda_suita,1,https://twitter.com/amanda_suita
evequeiroz2,1,https://twitter.com/evequeiroz2
estelle_flores_,1,https://twitter.com/estelle_flores_
soyounleeart,1,https://twitter.com/soyounleeart
HaneyCanvas,1,https://twitter.com/HaneyCanvas
rainbowbunny21,1,https://twitter.com/rainbowbunny21
bygrida,1,https://twitter.com/bygrida
Ghostkaat,1,https://twitter.com/Ghostkaat
pleshkova_art,1,https://twitter.com/pleshkova_art
Gilmarmsmith,1,https://twitter.com/Gilmarmsmith
aliceinhysteria,1,https://twitter.com/aliceinhysteria
KinoAlyse,1,https://twitter.com/KinoAlyse
Zwistillus,1,https://twitter.com/Zwistillus
scenebyisabelle,1,https://twitter.com/scenebyisabelle
priyankapaints,1,https://twitter.com/priyankapaints
ninaleinwatter,1,https://twitter.com/ninaleinwatter
KamilaSzutenber,1,https://twitter.com/KamilaSzutenber
SunnyCrittenden,1,https://twitter.com/SunnyCrittenden
wondermundo,1,https://twitter.com/wondermundo
AmatToussaint,1,https://twitter.com/AmatToussaint
cryptotalli,1,https://twitter.com/cryptotalli
DanielStagner,1,https://twitter.com/DanielStagner
vwestphoto_nb,1,https://twitter.com/vwestphoto_nb
ethpets,1,https://twitter.com/ethpets
EndangeredNfts,1,https://twitter.com/EndangeredNfts
bdbranches,1,https://twitter.com/bdbranches
snackprotecc,1,https://twitter.com/snackprotecc
jyatrofsky,1,https://twitter.com/jyatrofsky
HawkwardArt,1,https://twitter.com/HawkwardArt
toppy,1,https://twitter.com/toppy
Artemis_Wylde,1,https://twitter.com/Artemis_Wylde
DianaRubiArt,1,https://twitter.com/DianaRubiArt
aaguedaa,1,https://twitter.com/aaguedaa
velpokes,1,https://twitter.com/velpokes
madebyams,1,https://twitter.com/madebyams
solovechkinaart,1,https://twitter.com/solovechkinaart
nomatterwhatev,1,https://twitter.com/nomatterwhatev
arcanaofwales,1,https://twitter.com/arcanaofwales
miss_deux,1,https://twitter.com/miss_deux
verticalcrypto,1,https://twitter.com/verticalcrypto
kassandracmplx,1,https://twitter.com/kassandracmplx
0xd3d3,1,https://twitter.com/0xd3d3
artbyrei,1,https://twitter.com/artbyrei
kaegabrielleart,1,https://twitter.com/kaegabrielleart
MejiaMercredi,1,https://twitter.com/MejiaMercredi
chissweetart,1,https://twitter.com/chissweetart
ParisHilton,1,https://twitter.com/ParisHilton
AnnaVivette,1,https://twitter.com/AnnaVivette
LeahLamarr,1,https://twitter.com/LeahLamarr
KingMizoMadeIt,1,https://twitter.com/KingMizoMadeIt
blackboxdotart,1,https://twitter.com/blackboxdotart
rson_em3,1,https://twitter.com/rson_em3
AmyGoalen,1,https://twitter.com/AmyGoalen
Isabel_Camille,1,https://twitter.com/Isabel_Camille
MEESHUNO,1,https://twitter.com/MEESHUNO
ahowc_,1,https://twitter.com/ahowc_
heykelseyj,1,https://twitter.com/heykelseyj
CryptoPastel,1,https://twitter.com/CryptoPastel
NoruPixels,1,https://twitter.com/NoruPixels
pointline_,1,https://twitter.com/pointline_
annibale_sic,1,https://twitter.com/annibale_sic
IamOliveAllen,1,https://twitter.com/IamOliveAllen
terranaomi,1,https://twitter.com/terranaomi
catheline,1,https://twitter.com/catheline
jennicamaephoto,1,https://twitter.com/jennicamaephoto
proportio,1,https://twitter.com/proportio
WillZwey,1,https://twitter.com/WillZwey
InspiredMindsFA,1,https://twitter.com/InspiredMindsFA
juliataft,1,https://twitter.com/juliataft
BlockchainQu33n,1,https://twitter.com/BlockchainQu33n
sasha_nft,1,https://twitter.com/sasha_nft
jerrysaltz,1,https://twitter.com/jerrysaltz
lindsayadler,1,https://twitter.com/lindsayadler
80sgirlart,1,https://twitter.com/80sgirlart
visualpotions,1,https://twitter.com/visualpotions
pinktofuart,1,https://twitter.com/pinktofuart
takiisbranding,1,https://twitter.com/takiisbranding
catgraffam,1,https://twitter.com/catgraffam
geometrieva,1,https://twitter.com/geometrieva
1PriyaMistry,1,https://twitter.com/1PriyaMistry
kate_didyk,1,https://twitter.com/kate_didyk
EbruKonal,1,https://twitter.com/EbruKonal
FemmeNFT,1,https://twitter.com/FemmeNFT
mobius__e,1,https://twitter.com/mobius__e
LMiroirs,1,https://twitter.com/LMiroirs
olgieshmolgie,1,https://twitter.com/olgieshmolgie
ellagracebell,1,https://twitter.com/ellagracebell
NicoleYorkPhoto,1,https://twitter.com/NicoleYorkPhoto
Eselcixo,1,https://twitter.com/Eselcixo
Andreartr99,1,https://twitter.com/Andreartr99
Xacoli_nft,1,https://twitter.com/Xacoli_nft
PaolaZunico,1,https://twitter.com/PaolaZunico
TB_Choi12,1,https://twitter.com/TB_Choi12
synticfaye,1,https://twitter.com/synticfaye
estherperbandt,1,https://twitter.com/estherperbandt
RobbinMilne,1,https://twitter.com/RobbinMilne
PauseandPattern,1,https://twitter.com/PauseandPattern
ls528art,1,https://twitter.com/ls528art
khole_emily,1,https://twitter.com/khole_emily
MargaretLabour,1,https://twitter.com/MargaretLabour
lahathala,1,https://twitter.com/lahathala
oliviarpowell,1,https://twitter.com/oliviarpowell
sashastiles,1,https://twitter.com/sashastiles
ameliemaiaa,1,https://twitter.com/ameliemaiaa
mumu_thestan,1,https://twitter.com/mumu_thestan
DianeDrubay,1,https://twitter.com/DianeDrubay
aljaparis,1,https://twitter.com/aljaparis
kedusade,1,https://twitter.com/kedusade
selayout,1,https://twitter.com/selayout
oanadu_com,1,https://twitter.com/oanadu_com
ezgitilkii,1,https://twitter.com/ezgitilkii
CryptoNovo311,1,https://twitter.com/CryptoNovo311
cynemical,1,https://twitter.com/cynemical
Jen_Stark,1,https://twitter.com/Jen_Stark
MTroino,1,https://twitter.com/MTroino
linchong_angel,1,https://twitter.com/linchong_angel
makfflury,1,https://twitter.com/makfflury
Elnazh9,1,https://twitter.com/Elnazh9
